Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-ACCESORY/SPARE01,EPOXY DERUSHA TUBES,CHANTIER,67,0,0,12,5.58333333,E6R,XX,0,,N/A,,,1159,5,100,0,,[]
18-LOCK-125-XX-XX,CAM LOCKS,USINE/ASSEMBLAGE,6003,0,0,300,20.01,"E4L, BOX 21(2000), BOX 30(3400)",XX,0,,N/A,,,1160,5,100,0,,[]
18-VCMC-124-15-NO,"VIS CMC NOIR 10-24 X 1 1/2""",CHANTIER/USINE,36903,0,0,3130,11.7900959,"E2R,BOX 19, BOX 20",XX,0,,N/A,,,1161,5,100,0,,[]
18-VCMC-832-12-NO,"VIS CMC NOIR 8-32 X 1/2""",CHANTIER/USINE,17896,0,0,8000,2.237,E2R,XX,0,,N/A,,,1162,5,100,0,,[]
18-COIP-011-XX-TR,"CORNER OF TRANSPARENT PLASTIC (11.125"")11 1/8",CHANTIER,5055,0,0,1050,4.81428571,E6R,XX,0,,N/A,,,1163,5,100,0,,[]
LGOIR-LIFTING1,"SLING/Courroie 10""",CHANTIER,9,0,0,1,9,BOX 28,XX,0,,N/A,,,1164,5,100,0,,[]
LGOIR-LIFTING2,"SLING/Courroie 12""",CHANTIER,14,0,0,1,14,BOX 28,XX,0,,N/A,,,1165,5,100,0,,[]
LGOIR-LIFTING3,"SLING/Courroie 14""",CHANTIER,8,0,0,1,8,BOX 26,XX,0,,N/A,,,1166,5,100,0,,[]
LGOIR-LIFTING4,"SLING/Courroie 16""",CHANTIER,18,0,0,1,18,BOX 26,XX,0,,N/A,,,1167,5,100,0,,[]
LGOIR-LIFTING5,"SLING/Courroie 20""",CHANTIER,16,0,0,1,16,BOX 26,XX,0,,N/A,,,1168,5,100,0,,[]
LGOIR-LIFTING6,"SLING/Courroie 8""",CHANTIER,18,0,0,1,18,BOX 28,XX,0,,N/A,,,1169,5,100,0,,[]
LGOIR-PASTE1,Dymonic Amande,CHANTIER,0,0,0,30,0,E5R,-,0,,"VALTEC, PSC",,,1170,5,100,0,,[]
LGOIR-PASTE2,Dymonic Beige,CHANTIER,57,0,0,30,1.9,E5R,45554,-17,46102,"VALTEC, PSC",,,1171,5,100,0,,[]
LGOIR-PASTE3,DYMONIC BLACK,CHANTIER,102,0,0,30,3.4,E4R,45792,221,46340,"VALTEC, PSC",46078,,1172,5,100,0,,[]
LGOIR-PASTE4,DYMONIC BRONZE,CHANTIER,55,0,0,30,1.83333333,E3R,-,0,,"VALTEC, PSC",46086,,1173,5,100,0,,[]
