# Phoenix Cell G-NEEX
# Lines starting with # are descriptive; data rows begin after «# --- CSV data ---».
# Export: Low stock items
# Kind: inventory_alert_insight
# Exported (UTC): 2026-04-19T20:11:26.536Z
# Exported (local): April 19, 2026 at 4:11:26 PM
# Rows: 97
# --- CSV data ---
Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-TOOL1,GUN A EPOXY,CHANTIER,2,0,0,5,0.4,E6R,XX,0,,N/A,,,mnt08vol35ojei,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LIQUID2,"KERALASTIC (7,5L)",CHANTIER,2,0,0,1,2,E1L,XX,0,,N/A,,,mnt08vopccbpi2,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LIQUID4,Peinture Flat Black,MAGASINIER,1,0,0,6,0.16666667,E6C,XX,0,,AD prevost,,,mnt08vot3vqaxu,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL324,EXACTEAU,FINITION,5,0,0,12,0.41666667,ARMOIRE AVEC CLE T4,XX,0,,N/A,,,mnt08vox7jmyxg,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-RB5473,RUBAN POUR MARCHES,FINITION,1,0,0,12,0.08333333,ARMOIRE AVEC CLE T3,XX,0,,N/A,,,mnt08vozcukcal,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LIQUID10,Peinture Or Metalique,FINITION,3,0,0,12,0.25,E6C,XX,0,,N/A,,,mnt08vp0cg3y6l,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LIQUID13,Polythinner,ASSEMBLAGE/ EXTRUSION/USINE,2,0,0,1,2,E1C,XX,0,,N/A,,,mnt08vp5jcreq6,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-GAS1,PROPANE FOR FORKLIFT,USINE,4,0,0,1,4,DEHORS,XX,0,,SUPERIEUR PROPANE,46101,,mnt08vp69aqh0l,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-RUBBER1,Rouleaux de gaskets,ASSEMBLAGE,2,0,0,1,2,ETOPL,XX,0,,N/A,,,mnt08vp88tplar,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-SQ45131,"IRWIN  METAL COMBINATION SQUARE 16"" 40CM",CHANTIER,2,0,0,1,2,ARMOIRE AVEC CLE T4,XX,0,,N/A,,,mnt08vpmdwba4e,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL6,ANGLE DIE GRINDER/MEULEUSE,USINE,1,0,0,1,1,ARMOIRE AVEC CLE T3,XX,0,,N/A,,,mnt08vswtn3l2q,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-REVOLUTION /SPARE1,BEARING FLUSH TRIM BIT(FOR TOUPIE),USINE,4,0,0,1,4,X,XX,0,,N/A,,,mnt08vsy5yi6xb,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL7,METAL COMBINATION SAQUARE,USINE,2,0,0,1,2,X,XX,0,,N/A,,,mnt08vt0pvioev,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL9,MARTEAU EN PLASTIC ORANGE,USINE,2,0,0,1,2,ARMOIRE SANS CLE T1,XX,0,,N/A,,,mnt08vt4i7bznu,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL10,SNAP-OFF KNIFE/CUTEAU A LAME SECBLE,USINE,2,0,0,1,2,X,XX,0,,N/A,,,mnt08vt9q1p29t,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LITTLEPIECETOOL1234,FRAISES 7/64,USINE,1,0,0,1,1,DESK,XX,0,,N/A,,,mnt08vtc1ekmbl,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-SCIE/SPARE4,"METAL CUT-OFF DIAMETER 4 1/2"" THICKNESS 1/16",CHANTIER,1,0,0,1,1,X,XX,0,,N/A,,,mnt08vtte3zpy5,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL11,BENCH CLAMP,USINE,5,0,0,1,5,ARMOIRE SANS CLE T2,XX,0,,N/A,,,mnt08vu2uwp24u,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TAPE8,TAPE COLLANT POUR LEDS ROUGE,USINE,4,0,0,1,4,X,XX,0,,N/A,,,mnt08vu9sl20up,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-AIR/ACCESORY1,BLOW GUN,USINE,2,0,0,1,2,ARMOIRE AVEC CLE T4,XX,0,,N/A,,,mnt08vuieurdaa,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-TOOL/SPARE15,"HACKSAW BLADE 10""",USINE,2,0,0,1,2,ARMOIRE SANS CLE T3,XX,0,,N/A,,,mnt08vuow5w88o,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-AIR/ACCESORY2,2 WAY MANIFOLD ASSEMBLY,USINE,2,0,0,1,2,X,XX,0,,N/A,,,mnt08vuqdbk5pf,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
LGOIR-LUBRICANT2,HIGH TEMPERATURE LUB OIL,USINE,2,0,0,1,2,X,XX,0,,N/A,,,mnt08vuuwpxraa,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = celda bajo INITIAL_QUANTITY más a la izquierda (más reciente; col 7); si vacío, --initial-col. Complemento CSV: ubicación, lotes, min/max… (cantidades de stock sin cambiar).",[]
