Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
LGOIR-ACCESORY/SPARE01,EPOXY DERUSHA TUBES,CHANTIER,67,,,12,5.58333333,E6R,XX,,,N/A,,
18-LOCK-125-XX-XX,CAM LOCKS,USINE/ASSEMBLAGE,6003,,,300,20.01,"E4L, BOX 21(2000), BOX 30(3400)",XX,,,N/A,,
18-VCMC-124-15-NO,"VIS CMC NOIR 10-24 X 1 1/2"" ",CHANTIER/USINE,36903,,,3130,11.7900959,"E2R,BOX 19, BOX 20",XX,,,N/A,,
18-VCMC-832-12-NO,"VIS CMC NOIR 8-32 X 1/2""",CHANTIER/USINE,17896,,,8000,2.237,E2R,XX,,,N/A,,
18-COIP-011-XX-TR,"CORNER OF TRANSPARENT PLASTIC (11.125"")11 1/8",CHANTIER,5055,,,1050,4.81428571,E6R,XX,,,N/A,,
LGOIR-LIFTING1,"SLING/Courroie 10""",CHANTIER,9,,,1,9,BOX 28,XX,,,N/A,,
LGOIR-LIFTING2,"SLING/Courroie 12""",CHANTIER,14,,,1,14,BOX 28,XX,,,N/A,,
LGOIR-LIFTING3,"SLING/Courroie 14""",CHANTIER,8,,,1,8,BOX 26,XX,,,N/A,,
LGOIR-LIFTING4,"SLING/Courroie 16""",CHANTIER,18,,,1,18,BOX 26,XX,,,N/A,,
LGOIR-LIFTING5,"SLING/Courroie 20""",CHANTIER,16,,,1,16,BOX 26,XX,,,N/A,,
LGOIR-LIFTING6,"SLING/Courroie 8"" ",CHANTIER,18,,,1,18,BOX 28,XX,,,N/A,,
LGOIR-PASTE1,Dymonic Amande,CHANTIER,0,,,30,0,E5R,-,,,"VALTEC, PSC",,
LGOIR-PASTE2,Dymonic Beige,CHANTIER,57,,,30,1.9,E5R,45554,-17,46102,"VALTEC, PSC",,
LGOIR-PASTE3,DYMONIC BLACK,CHANTIER,102,,,30,3.4,E4R,45792,221,46340,"VALTEC, PSC",46078,
LGOIR-PASTE4,DYMONIC BRONZE,CHANTIER,55,,,30,1.83333333,E3R,-,,,"VALTEC, PSC",46086,
LGOIR-PASTE5,Dymonic FC REDWOOD TAN,CHANTIER,17,,,30,0.56666667,E4R,45665,94,46213,"VALTEC, PSC",,
LGOIR-PASTE6,DYMONIC IVORY,CHANTIER,45,,,30,1.5,E3R,46042,471,46590,"VALTEC, PSC",46078,
LGOIR-PASTE7,DYMONIC LIGHT BRONZE,CHANTIER,31,,,30,1.03333333,E3R,45639,68,46187,"VALTEC, PSC",Waiting,
LGOIR-PASTE8,Dymonic Limestone,CHANTIER,30,,,30,1,E3R,45779,208,46327,"VALTEC, PSC",,
LGOIR-PASTE9,Dymonic Off white,CHANTIER,55,,,30,1.83333333,E4R,45996,425,46544,"VALTEC, PSC",46078,
LGOIR-PASTE10,Dymonic white,CHANTIER,29,,,30,0.96666667,E4R,45584,13,46132,"VALTEC, PSC",,
LGOIR-PASTE11,EPOXY DERUSHA BUSES,CHANTIER,35,,,12,2.91666667,E6R,XX,,,N/A,,
LGOIR-LITTLE PIECE / FIX1,"Fender Washer PLTD 3/16 1"" OD",USINE/ASSEMBLAGE,160,,,40,4,E3C,XX,,,H.PAULIN,46119,
LGOIR-93286A011,"ALUMINIUM WASHERS FOR NUMBER 10 SCREW, GENERALPURPOSE, 0.203"" ID, 0.438"" OD,  PACKS OF 100",USINE/ASSEMBLAGE,1000,,,100,10,ARMOIRE AVEC CLE,XX,,,MCMASTER-CARR,46078,
LGOIR-PROTECTION1,GANTS 10 /GLOVES 10,USINE,25,,,1,25,X,XX,,,TENAQUIP,,
LGOIR-PROTECTION2,GANTS 6/GLOVES 6,USINE,116,,,1,116,X,XX,,,TENAQUIP,,
LGOIR-PROTECTION3,GANTS 7/GLOVES 7,USINE,75,,,1,75,X,XX,,,TENAQUIP,,
LGOIR-PROTECTION4,GANTS 8/GLOVES 8,USINE,13,,,1,13,X,XX,,,TENAQUIP,Waiting,
LGOIR-PROTECTION5,GANTS 9/GLOVES 9,USINE,67,,,1,67,X,XX,,,TENAQUIP,,
LGOIR-PLASTIC1,GRAY SHIMS,CHANTIER,523,,,N/A,#¡VALOR!,E5C,XX,,,N/A,,
LGOIR-TOOL1,GUN A EPOXY,CHANTIER,2,,,5,0.4,E6R,XX,,,N/A,,
LGOIR-PASTE12,HARDENER,CHANTIER,38,,,1,38,E5R,XX,,,N/A,,
LGOIR-LITTLE PIECE/ SECURITY3,HEX NUTS 5,USINE,10365,,,3000,3.455,E4L,XX,,,N/A,,
LGOIR-PROTECTION6,LUNETTES DE PROTECTION,USINE/SAFETY,95,,,1,95,X,XX,,,N/A,,
