Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-ACCESORY/SPARE01,EPOXY DERUSHA TUBES,CHANTIER,67.0,0,0,12.0,5.58333333,E6R,XX,0,,N/A,,,mnt08vo723ua6b,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
18-LOCK-125-XX-XX,CAM LOCKS,USINE/ASSEMBLAGE,5434.0,0,0,300.0,20.01,"E4L, BOX 21(2000), BOX 30(3400)",XX,0,,N/A,,,mnt08vo7ehtmq8,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
18-VCMC-124-15-NO,"VIS CMC NOIR 10-24 X 1 1/2""",CHANTIER/USINE,36903.0,0,0,3130.0,11.7900959,"E2R,BOX 19, BOX 20",XX,0,,N/A,,,mnt08vo7hqr6hq,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
18-VCMC-832-12-NO,"VIS CMC NOIR 8-32 X 1/2""",CHANTIER/USINE,14800.0,0,0,8000.0,2.237,E2R,XX,0,,N/A,,,mnt08vo8b3nf4w,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
18-COIP-011-XX-TR,"CORNER OF TRANSPARENT PLASTIC (11.125"")11 1/8",CHANTIER,4946.0,0,0,1050.0,4.81428571,E6R,XX,0,,N/A,,,mnt08vo8d04lrl,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-LIFTING1,"SLING/Courroie 10""",CHANTIER,9.0,0,0,1.0,9.0,BOX 28,XX,0,,N/A,,,mnt08vo84luisf,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-LIFTING2,"SLING/Courroie 12""",CHANTIER,14.0,0,0,1.0,14.0,BOX 28,XX,0,,N/A,,,mnt08vo80a51de,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-LIFTING3,"SLING/Courroie 14""",CHANTIER,8.0,0,0,1.0,8.0,BOX 26,XX,0,,N/A,,,mnt08vo961mlgx,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-LIFTING4,"SLING/Courroie 16""",CHANTIER,18.0,0,0,1.0,18.0,BOX 26,XX,0,,N/A,,,mnt08vo9j2zxfj,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-LIFTING5,"SLING/Courroie 20""",CHANTIER,16.0,0,0,1.0,16.0,BOX 26,XX,0,,N/A,,,mnt08vo9jpu2jr,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-LIFTING6,"SLING/Courroie 8""",CHANTIER,18.0,0,0,1.0,18.0,BOX 28,XX,0,,N/A,,,mnt08voats5m8k,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE1,Dymonic Amande,CHANTIER,0.0,0,0,30.0,0,E5R,-,0,,"VALTEC, PSC",,,mnt08voalg2oiw,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE2,Dymonic Beige,CHANTIER,57.0,0,0,30.0,1.9,E5R,45554,-17,46102,"VALTEC, PSC",,,mnt08voas2m68p,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE3,DYMONIC BLACK,CHANTIER,100.0,0,0,30.0,3.4,E4R,45792,221,46340,"VALTEC, PSC",46078,,mnt08vobv6d04i,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE4,DYMONIC BRONZE,CHANTIER,55.0,0,0,30.0,1.83333333,E3R,-,0,,"VALTEC, PSC",46086,,mnt08vobh6ghhm,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE5,Dymonic FC REDWOOD TAN,CHANTIER,17.0,0,0,30.0,0.56666667,E4R,45665,94,46213,"VALTEC, PSC",,,mnt08vocrq8h4c,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE6,DYMONIC IVORY,CHANTIER,34.0,0,0,30.0,1.5,E3R,46042,471,46590,"VALTEC, PSC",46078,,mnt08vodtgz5kc,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE7,DYMONIC LIGHT BRONZE,CHANTIER,31.0,0,0,30.0,1.03333333,E3R,45639,68,46187,"VALTEC, PSC",Waiting,,mnt08vod9x24yv,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE8,Dymonic Limestone,CHANTIER,30.0,0,0,30.0,1.0,E3R,45779,208,46327,"VALTEC, PSC",,,mnt08voda36p0f,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE9,Dymonic Off white,CHANTIER,49.0,0,0,30.0,1.83333333,E4R,45996,425,46544,"VALTEC, PSC",46078,,mnt08voelh5lfp,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE10,Dymonic white,CHANTIER,29.0,0,0,30.0,0.96666667,E4R,45584,13,46132,"VALTEC, PSC",,,mnt08voenxyp9y,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PASTE11,EPOXY DERUSHA BUSES,CHANTIER,35.0,0,0,12.0,2.91666667,E6R,XX,0,,N/A,,,mnt08voffkjmia,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-LITTLE PIECE / FIX1,"Fender Washer PLTD 3/16 1"" OD",USINE/ASSEMBLAGE,160.0,0,0,40.0,4.0,E3C,XX,0,,H.PAULIN,46119,,mnt08vofuo19zp,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-93286A011,"ALUMINIUM WASHERS FOR NUMBER 10 SCREW, GENERALPURPOSE, 0.203"" ID, 0.438"" OD,  PACKS OF 100",USINE/ASSEMBLAGE,1000.0,0,0,100.0,10.0,ARMOIRE AVEC CLE,XX,0,,MCMASTER-CARR,46078,,mnt08vogjks7z6,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PROTECTION1,GANTS 10 /GLOVES 10,USINE,25.0,0,0,1.0,25.0,X,XX,0,,TENAQUIP,,,mnt08vohab3uri,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PROTECTION2,GANTS 6/GLOVES 6,USINE,116.0,0,0,1.0,116.0,X,XX,0,,TENAQUIP,,,mnt08voizf5tse,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PROTECTION3,GANTS 7/GLOVES 7,USINE,75.0,0,0,1.0,75.0,X,XX,0,,TENAQUIP,,,mnt08voisyk9bd,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PROTECTION4,GANTS 8/GLOVES 8,USINE,12.0,0,0,1.0,13.0,X,XX,0,,TENAQUIP,Waiting,,mnt08voj975a4u,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
LGOIR-PROTECTION5,GANTS 9/GLOVES 9,USINE,66.0,0,0,1.0,67.0,X,XX,0,,TENAQUIP,,,mnt08vokipkfk9,0,0,0,Origen Phoenix (movimientos). Inventario alineado con respaldo G-NEEX final. ⚠ Sin fila en CSV G-NEEX: metadatos solo desde Phoenix/respaldo.,[]
