Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-ACCESORY/SPARE01,EPOXY DERUSHA TUBES,CHANTIER,67.0,0,0,0,0,,,,,,,,1,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-LOCK-125-XX-XX,CAM LOCKS,USINE/ASSEMBLAGE,6607.0,0,0,0,0,,,,,,,,2,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VCMC-124-15-NO,"VIS CMC NOIR 10-24 X 1 1/2""",CHANTIER/USINE,37913.0,0,0,0,0,,,,,,,,3,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-VCMC-832-12-NO,"VIS CMC NOIR 8-32 X 1/2""",CHANTIER/USINE,12665.0,0,0,0,0,,,,,,,,4,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-COIP-011-XX-TR,"CORNER OF TRANSPARENT PLASTIC (11.125"")11 1/8",CHANTIER,5854.0,0,0,0,0,,,,,,,,5,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIFTING1,"SLING/Courroie 10""",CHANTIER,9.0,0,0,0,0,,,,,,,,6,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIFTING2,"SLING/Courroie 12""",CHANTIER,14.0,0,0,0,0,,,,,,,,7,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIFTING3,"SLING/Courroie 14""",CHANTIER,8.0,0,0,0,0,,,,,,,,8,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIFTING4,"SLING/Courroie 16""",CHANTIER,18.0,0,0,0,0,,,,,,,,9,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIFTING5,"SLING/Courroie 20""",CHANTIER,16.0,0,0,0,0,,,,,,,,10,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIFTING6,"SLING/Courroie 8""",CHANTIER,18.0,0,0,0,0,,,,,,,,11,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE1,Dymonic Amande,CHANTIER,30.0,0,0,0,0,,,,,,,,12,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE2,Dymonic Beige,CHANTIER,27.0,0,0,0,0,,,,,,,,13,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE3,DYMONIC BLACK,CHANTIER,53.0,0,0,0,0,,,,,,,,14,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE4,DYMONIC BRONZE,CHANTIER,24.0,0,0,0,0,,,,,,,,15,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE5,Dymonic FC REDWOOD TAN,CHANTIER,17.0,0,0,0,0,,,,,,,,16,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE6,DYMONIC IVORY,CHANTIER,37.0,0,0,0,0,,,,,,,,17,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE7,DYMONIC LIGHT BRONZE,CHANTIER,31.0,0,0,0,0,,,,,,,,18,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE8,Dymonic Limestone,CHANTIER,30.0,0,0,0,0,,,,,,,,19,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE9,Dymonic Off white,CHANTIER,32.0,0,0,0,0,,,,,,,,20,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE10,Dymonic white,CHANTIER,29.0,0,0,0,0,,,,,,,,21,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE11,EPOXY DERUSHA BUSES,CHANTIER,35.0,0,0,0,0,,,,,,,,22,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LITTLE PIECE / FIX1,"Fender Washer PLTD 3/16 1"" OD",USINE/ASSEMBLAGE,80.00000000000003,0,0,0,0,,,,,,,,23,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-93286A011,"ALUMINIUM WASHERS FOR NUMBER 10 SCREW, GENERALPURPOSE, 0.203"" ID, 0.438"" OD,  PACKS OF 100",USINE/ASSEMBLAGE,1000.0,0,0,0,0,,,,,,,,24,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PROTECTION1,GANTS 10 /GLOVES 10,USINE,1.0,0,0,0,0,,,,,,,,25,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PROTECTION2,GANTS 6/GLOVES 6,USINE,116.0,0,0,0,0,,,,,,,,26,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PROTECTION3,GANTS 7/GLOVES 7,USINE,75.0,0,0,0,0,,,,,,,,27,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PROTECTION4,GANTS 8/GLOVES 8,USINE,55.0,0,0,0,0,,,,,,,,28,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PROTECTION5,GANTS 9/GLOVES 9,USINE,91.0,0,0,0,0,,,,,,,,29,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PLASTIC1,GRAY SHIMS,CHANTIER,813.0,0,0,0,0,,,,,,,,30,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-TOOL1,GUN A EPOXY,CHANTIER,2.0,0,0,0,0,,,,,,,,31,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PASTE12,HARDENER,CHANTIER,51.0,0,0,0,0,,,,,,,,32,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LITTLE PIECE/ SECURITY3,HEX NUTS 5,USINE,10365.0,0,0,0,0,,,,,,,,33,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-PROTECTION6,LUNETTES DE PROTECTION,USINE/SAFETY,95.0,0,0,0,0,,,,,,,,34,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID/MACHINERY1,COOL CUT METAL CUTTING LUBRICANT/LUBRIFIANT DE COUPE POUR METAUX,USINE,5.0,0,0,0,0,,,,,,,,35,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-KEBO-POU-23-BC,KERABOND WHITE,CHANTIER,23.0,0,0,0,0,,,,,,,,36,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID2,"KERALASTIC (7,5L)",CHANTIER,2.0,0,0,0,0,,,,,,,,37,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
18-KELA-LIQ-19-BC,KERALASTIC 5U.S GALS 18.9L,CHANTIER,10.0,0,0,0,0,,,,,,,,38,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LITTLE PIECE /SECURITY4,CAMS,ASSEMBLAGE,9690.0,0,0,0,0,,,,,,,,39,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-TAPE1,painter's tape blue,ASSEMBLAGE/USINE,25.0,0,0,0,0,,,,,,,,40,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
ANCHORPRESS,ANCHOR PRESS(DYNACAST),CHANTIER,14142.0,0,0,0,0,,,,,,,,41,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID4,Peinture Flat Black,MAGASINIER,2.0,0,0,0,0,,,,,,,,42,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-LIQUID PM823,Peinture gold,FINITION,12.0,0,0,0,0,,,,,,,,43,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
LGOIR-BETON1189,ANCRAGE # 3,CHANTIER,1085.0,0,0,0,0,,,,,,,,44,0,0,0,"Origen: Phoenix HISTORY. StockPrincipal = último conteo en la rejilla (último número o saldo tras ____ al avanzar columnas; si vacío, INITIAL).",[]
